Customer_ID,Age,Gender,Country,Membership_Tier,Annual_Income_USD,Product_Category,Purchase_Amount_USD,Payment_Method,Orders_Per_Month,Discount_Applied_Percent,Delivery_Time_Days,Review_Rating,Satisfaction_Score,Returned_Item,App_Usage_Mins_Per_Week,Preferred_Shopping_Hour,Signup_Date,Days_Since_Last_Purchase,Churned
CUST-10037,40,Prefer not to say,Australia,Gold,92620.0,Home & Kitchen,187.37,PayPal,2,15,1,4.5,9,No,173,13,2022-09-13,201,No
CUST-10038,18,Female,United States,Platinum,141301.0,Beauty & Personal Care,18.91,Apple Pay,4,0,11,2.0,4,No,149,12,2025-03-19,272,Yes
CUST-10039,22,Male,India,Bronze,18000.0,Apparel,15.99,Credit Card,3,15,2,5.0,10,No,140,11,2024-09-17,75,No
CUST-10040,40,Female,United States,Silver,47980.0,Apparel,135.33,Apple Pay,3,15,3,3.0,6,Yes,160,7,2024-01-31,70,No
CUST-10041,46,Female,India,Bronze,66319.0,Apparel,8.5,Credit Card,1,5,2,4.0,8,No,119,15,2024-01-19,35,No
CUST-10042,40,Male,India,Gold,110951.0,Beauty & Personal Care,324.44,Credit Card,7,25,2,4.0,7,No,204,10,2023-12-30,37,No
CUST-10043,36,Male,Japan,Bronze,40872.0,Books & Media,8.5,Credit Card,3,0,11,2.5,4,Yes,58,17,2024-07-14,103,Yes
CUST-10044,34,Prefer not to say,India,Bronze,,Home & Kitchen,245.0,Debit Card,9,0,6,3.5,7,No,99,10,2023-09-24,31,No
CUST-10045,20,Female,Canada,Gold,89703.0,Home & Kitchen,107.62,Credit Card,5,0,7,2.5,5,Yes,214,12,2023-03-15,34,No
CUST-10046,29,Female,United States,Bronze,66418.0,Sports & Outdoors,85.92,Apple Pay,5,15,6,3.5,7,No,39,5,2024-12-18,2,No
CUST-10047,32,Male,United Kingdom,Silver,58393.0,Electronics,643.21,Buy Now Pay Later,3,10,11,1.0,3,No,207,23,2023-07-20,57,No
CUST-10048,50,Male,Canada,Silver,66173.0,Electronics,171.55,PayPal,7,5,6,2.0,4,No,22,14,2024-11-17,77,No
CUST-10049,42,Female,United States,Bronze,62628.0,Beauty & Personal Care,38.83,PayPal,3,0,9,3.5,6,No,38,2,2022-01-04,25,No
CUST-10050,18,Female,Germany,Bronze,28007.0,Sports & Outdoors,8.5,PayPal,6,0,8,3.5,7,No,101,15,2023-09-28,13,No
CUST-10051,41,Female,India,Silver,90058.0,Sports & Outdoors,8.5,Credit Card,3,0,8,1.5,4,Yes,183,20,2022-11-27,46,No
CUST-10052,33,Male,United States,Bronze,18000.0,Apparel,14.32,PayPal,1,10,6,3.5,8,No,215,19,2024-06-16,6,No
CUST-10053,29,Female,Japan,Silver,91333.0,Electronics,431.89,PayPal,8,0,5,3.5,7,No,169,18,2022-02-20,42,No
CUST-10054,45,Female,Brazil,Gold,88291.0,Apparel,14.6,Crypto,9,0,9,2.0,3,Yes,148,8,2025-05-12,20,Yes
CUST-10055,50,Female,India,Gold,90631.0,Electronics,45.53,Buy Now Pay Later,4,20,2,4.0,7,No,202,17,2023-12-04,14,No
CUST-10056,49,Female,India,Bronze,18000.0,Apparel,26.99,Debit Card,4,10,7,3.0,6,No,72,18,2024-09-01,56,No
CUST-10057,27,Female,Canada,Bronze,33813.0,Beauty & Personal Care,38.62,Debit Card,5,15,6,3.5,6,No,145,15,2023-05-02,11,No
CUST-10058,34,Male,India,Bronze,23283.0,Electronics,237.89,PayPal,4,0,7,2.0,4,No,53,20,2024-06-28,109,Yes
CUST-10059,41,Female,Japan,Bronze,31062.0,Sports & Outdoors,17.04,Apple Pay,7,5,4,,5,No,140,10,2025-06-05,348,Yes
CUST-10060,49,Male,United States,Silver,59528.0,Apparel,8.5,Debit Card,5,10,9,1.0,4,No,141,9,2024-05-22,125,Yes
CUST-10061,32,Female,United Kingdom,Silver,79240.0,Home & Kitchen,568.02,Credit Card,3,0,7,3.0,6,No,107,20,2024-04-26,9,No
CUST-10062,35,Male,Japan,Bronze,45736.0,Electronics,80.88,Buy Now Pay Later,9,0,2,4.5,8,Yes,153,16,2022-06-20,20,No
CUST-10063,24,Male,United States,Bronze,47538.0,Apparel,159.1,PayPal,6,20,4,4.0,7,No,154,0,2023-09-09,37,No
CUST-10064,23,Male,Germany,Bronze,22280.0,Electronics,372.2,PayPal,5,25,5,3.5,7,No,207,11,2023-01-01,64,No
CUST-10065,47,Male,Germany,Silver,46146.0,Books & Media,42.67,Apple Pay,12,0,2,4.5,9,No,38,20,2022-06-01,53,No
CUST-10066,54,Female,United States,Bronze,74377.0,Beauty & Personal Care,10.15,Buy Now Pay Later,4,5,10,3.0,5,No,152,2,2023-10-30,19,No
CUST-10067,37,Female,Canada,Silver,48766.0,Apparel,144.79,Credit Card,2,30,8,3.0,6,No,94,0,2023-05-22,81,No
CUST-10068,50,Male,Japan,Bronze,71811.0,Electronics,492.07,Apple Pay,4,0,1,4.0,9,No,212,10,2024-03-05,23,No
CUST-10069,42,Prefer not to say,United Kingdom,Gold,90624.0,Books & Media,36.68,PayPal,2,10,3,3.0,6,No,214,21,2022-02-23,45,No
CUST-10070,30,Male,United States,Gold,,Apparel,48.2,Credit Card,5,30,1,4.5,9,Yes,200,20,2024-10-09,59,Yes
CUST-10071,42,Male,United States,Bronze,61266.0,Electronics,94.38,Apple Pay,5,30,5,3.0,7,No,104,14,2023-10-10,0,No
CUST-10072,56,Male,United Kingdom,Bronze,64894.0,Home & Kitchen,23.69,PayPal,3,10,8,2.0,4,No,210,15,2023-08-02,14,No
CUST-10073,37,Female,Brazil,Silver,60005.0,Books & Media,23.43,Apple Pay,4,0,7,2.0,5,Yes,50,11,2022-11-08,68,No
CUST-10074,56,Female,United States,Bronze,35011.0,Electronics,206.21,Credit Card,5,0,9,1.0,2,No,24,9,2025-01-20,17,No
CUST-10075,18,Male,Germany,Silver,60993.0,Electronics,137.7,PayPal,3,20,2,5.0,10,No,67,19,2024-07-26,30,No
CUST-10076,47,Non-Binary,United States,Gold,101083.0,Books & Media,27.51,PayPal,5,25,8,2.5,5,No,168,7,2022-02-13,65,No
CUST-10077,39,Female,United States,Silver,78043.0,Electronics,158.04,PayPal,4,10,8,4.5,8,Yes,202,14,2023-11-12,77,No
CUST-10078,34,Male,Australia,Gold,95076.0,Electronics,395.55,Credit Card,1,15,6,4.0,7,No,10,17,2024-08-01,60,No
CUST-10079,39,Female,Japan,Bronze,53139.0,Home & Kitchen,381.89,Buy Now Pay Later,6,15,3,4.0,8,No,232,7,2022-12-09,46,No
CUST-10080,18,Male,United States,Bronze,71490.0,Sports & Outdoors,23.55,PayPal,4,15,2,4.0,8,No,164,14,2022-12-23,8,No
CUST-10081,35,Female,United Kingdom,Gold,101863.0,Apparel,58.27,Apple Pay,7,20,8,3.0,6,Yes,69,15,2022-04-01,42,No
CUST-10082,42,Female,United States,Bronze,47609.0,Books & Media,8.5,PayPal,3,15,6,4.0,7,Yes,150,18,2023-12-19,17,No
CUST-10083,55,Male,United Kingdom,Silver,34659.0,Home & Kitchen,130.64,Credit Card,6,10,4,4.0,8,No,208,9,2022-11-25,25,No
CUST-10084,31,Female,Germany,Bronze,18000.0,Electronics,219.27,PayPal,5,0,5,4.0,7,No,167,10,2024-10-02,29,No
CUST-10085,28,Male,United States,Bronze,48990.0,Books & Media,79.79,PayPal,4,15,5,3.5,7,No,215,15,2022-09-05,47,No
CUST-10086,31,Male,United States,Platinum,138293.0,Apparel,46.22,PayPal,6,10,9,2.0,5,Yes,100,23,2025-02-22,1,No
CUST-10087,48,Male,United Kingdom,Bronze,32733.0,Apparel,206.32,PayPal,5,0,9,1.5,3,No,109,9,2025-06-11,78,No
CUST-10088,41,Female,Brazil,Platinum,144383.0,Home & Kitchen,17.77,PayPal,1,20,8,3.5,7,No,132,23,2025-01-24,32,No
CUST-10089,31,Female,India,Platinum,138912.0,Apparel,130.89,Credit Card,8,15,8,3.0,7,No,301,18,2022-07-06,13,No
CUST-10090,44,Female,United States,Gold,115300.0,Electronics,25.01,PayPal,2,25,2,4.5,10,No,219,19,2022-01-25,31,No
CUST-10091,39,Prefer not to say,Japan,Silver,63549.0,Electronics,707.78,Credit Card,5,0,3,4.0,8,No,336,6,2024-09-26,26,No
CUST-10092,49,Male,United Kingdom,Silver,48555.0,Apparel,63.21,Credit Card,3,10,8,2.5,5,No,113,10,2022-10-12,66,No
CUST-10093,29,Male,United Kingdom,Gold,,Sports & Outdoors,182.86,Buy Now Pay Later,4,0,5,2.0,4,No,129,5,2023-06-01,69,Yes
CUST-10094,34,Male,Japan,Bronze,38091.0,Home & Kitchen,248.76,PayPal,4,25,7,4.0,8,No,129,11,2024-06-04,14,No
CUST-10095,33,Male,Brazil,Silver,71477.0,Books & Media,8.5,Apple Pay,7,0,8,2.0,3,No,245,22,2022-03-16,6,Yes
CUST-10096,20,Male,India,Silver,53406.0,Apparel,8.5,PayPal,5,15,6,3.5,6,No,122,7,2022-05-06,5,No
CUST-10097,41,Female,Canada,Silver,50303.0,Apparel,179.98,Debit Card,4,15,5,3.0,7,No,153,15,2023-06-24,3,No
CUST-10098,41,Male,United Kingdom,Silver,63515.0,Electronics,119.37,PayPal,5,5,8,2.5,5,No,158,0,2022-03-31,89,No
CUST-10099,38,Female,Japan,Bronze,,Electronics,35.53,Apple Pay,8,30,1,5.0,9,No,143,18,2025-05-05,50,No
CUST-10100,35,Male,United States,Silver,70636.0,Apparel,63.85,Credit Card,7,20,1,4.5,9,Yes,112,9,2022-08-19,17,No
CUST-10101,21,Male,Canada,Gold,90164.0,Beauty & Personal Care,55.12,Buy Now Pay Later,6,0,1,2.5,5,Yes,156,7,2024-06-14,81,No
CUST-10102,32,Male,United Kingdom,Bronze,18000.0,Sports & Outdoors,8.5,Debit Card,5,0,3,3.0,7,No,117,11,2023-02-16,90,No
CUST-10103,33,Female,Germany,Platinum,132210.0,Books & Media,15.68,Debit Card,3,0,10,1.0,2,Yes,185,19,2022-10-04,212,No
CUST-10104,28,Female,United States,Silver,76288.0,Electronics,11.53,Credit Card,3,0,6,3.5,7,No,219,7,2024-02-05,55,No
CUST-10105,36,Female,United States,Gold,89647.0,Sports & Outdoors,80.32,Credit Card,6,20,6,3.0,6,Yes,279,9,2024-01-21,23,No
CUST-10106,42,Female,Brazil,Silver,57565.0,Apparel,205.64,Credit Card,3,30,5,3.0,5,No,94,0,2024-06-06,99,No
CUST-10107,60,Female,United States,Gold,112754.0,Electronics,1704.73,Credit Card,4,0,7,2.5,5,No,150,22,2023-12-16,11,No
CUST-10108,40,Male,Canada,Bronze,29184.0,Sports & Outdoors,85.17,Debit Card,4,10,5,2.5,6,Yes,80,16,2024-04-10,14,No
CUST-10109,41,Male,United States,Gold,67229.0,Home & Kitchen,32.71,Credit Card,4,10,2,4.5,9,Yes,165,18,2025-06-21,82,No
CUST-10110,37,Female,United States,Bronze,39108.0,Electronics,585.12,Credit Card,2,0,4,4.0,7,Yes,104,17,2023-10-18,28,No
CUST-10111,18,Female,United States,Gold,,Apparel,81.09,Credit Card,7,5,1,4.0,9,Yes,178,8,2025-06-26,5,No
CUST-10112,37,Female,United States,Platinum,122607.0,Apparel,22.22,Credit Card,2,5,7,4.0,7,No,253,16,2022-09-27,142,No
CUST-10113,38,Male,Australia,Bronze,38843.0,Beauty & Personal Care,101.04,Credit Card,4,10,4,3.5,7,No,10,7,2023-10-29,39,No
CUST-10114,67,Male,United States,Bronze,50847.0,Apparel,121.43,Apple Pay,3,15,4,4.0,8,Yes,177,12,2024-12-14,109,No
CUST-10115,35,Male,India,Gold,94832.0,Books & Media,54.36,PayPal,3,15,4,3.5,8,No,137,15,2025-01-09,13,No
CUST-10116,41,Male,Canada,Bronze,47525.0,Electronics,337.15,Credit Card,7,0,3,3.0,6,No,173,15,2025-01-16,1,No
CUST-10117,37,Prefer not to say,United Kingdom,Gold,127641.0,Apparel,30.36,PayPal,5,20,8,4.0,8,No,125,7,2024-03-31,15,Yes
CUST-10118,23,Male,Canada,Bronze,35828.0,Apparel,17.05,PayPal,1,15,4,3.0,6,No,215,3,2024-12-21,74,No
CUST-10119,51,Female,Canada,Bronze,47010.0,Home & Kitchen,180.85,Credit Card,5,20,8,3.0,7,No,202,19,2023-03-17,10,No
CUST-10120,47,Male,Japan,Platinum,130834.0,Apparel,34.11,Apple Pay,4,5,9,1.5,3,Yes,222,18,2025-04-20,143,Yes
CUST-10121,47,Female,United States,Silver,46765.0,Beauty & Personal Care,25.13,Apple Pay,4,20,1,4.5,9,No,194,6,2022-08-24,41,No
CUST-10122,27,Male,United Kingdom,Gold,84471.0,Sports & Outdoors,217.79,Apple Pay,6,20,4,5.0,10,No,113,7,2024-05-19,2,No
CUST-10123,54,Female,Brazil,Bronze,33382.0,Books & Media,37.56,Apple Pay,3,5,6,3.0,6,No,96,20,2022-06-14,20,No
CUST-10124,21,Male,India,Silver,68470.0,Beauty & Personal Care,31.8,Credit Card,5,5,8,2.0,5,No,203,18,2022-02-22,60,No
CUST-10125,45,Male,Brazil,Silver,104283.0,Sports & Outdoors,249.59,Buy Now Pay Later,10,25,6,5.0,8,Yes,122,23,2024-06-15,46,No
CUST-10126,64,Male,United Kingdom,Silver,49111.0,Home & Kitchen,289.23,Debit Card,2,15,6,2.5,6,No,238,9,2022-03-05,49,No
CUST-10127,26,Male,Japan,Silver,54500.0,Sports & Outdoors,122.14,Debit Card,4,25,10,3.5,7,No,126,14,2024-10-18,0,No
CUST-10128,31,Female,United Kingdom,Silver,60863.0,Apparel,24.32,Credit Card,8,15,4,3.5,8,No,183,9,2022-07-26,62,No
CUST-10129,39,Female,United Kingdom,Silver,69124.0,Apparel,32.0,Buy Now Pay Later,3,10,9,2.0,5,Yes,291,16,2023-07-28,72,No
CUST-10130,31,Female,United States,Bronze,46743.0,Apparel,31.07,Debit Card,8,0,7,2.5,5,No,97,7,2024-07-24,12,No
CUST-10131,19,Female,Canada,Gold,118113.0,Apparel,16.23,Debit Card,7,0,11,1.5,3,Yes,183,7,2025-04-29,2,No
CUST-10132,38,Male,United States,Bronze,18000.0,Apparel,16.27,Credit Card,5,30,6,3.5,6,No,197,6,2022-09-26,0,No
CUST-10133,25,Female,United States,Silver,19035.0,Books & Media,8.5,Apple Pay,2,5,1,4.0,8,No,191,17,2024-02-04,2,No
CUST-10134,43,Non-Binary,Australia,Bronze,33074.0,Apparel,42.0,Buy Now Pay Later,1,0,2,3.5,7,No,115,14,2024-09-03,90,No
CUST-10135,26,Male,United States,Silver,81751.0,Electronics,855.95,Apple Pay,9,15,6,2.5,6,No,127,16,2024-10-01,5,No
CUST-10136,56,Male,United States,Gold,66818.0,Home & Kitchen,20.41,PayPal,4,15,11,4.0,7,No,138,20,2024-08-14,51,No
CUST-10137,28,Female,United States,Bronze,18000.0,Electronics,214.02,Buy Now Pay Later,3,0,1,4.0,7,No,223,18,2025-06-18,47,No
CUST-10138,34,Male,India,Bronze,52281.0,Electronics,332.83,PayPal,7,0,11,1.5,4,Yes,127,13,2025-01-25,6,Yes
CUST-10139,47,Male,Canada,Bronze,,Electronics,27.15,PayPal,5,10,5,4.0,8,No,148,23,2024-03-12,108,No
CUST-10140,23,Male,United Kingdom,Silver,42376.0,Apparel,200.2,PayPal,1,0,1,4.5,9,No,113,13,2022-05-18,45,No
CUST-10141,40,Male,Australia,Gold,77260.0,Apparel,88.8,Buy Now Pay Later,5,15,3,4.0,8,Yes,204,7,2025-06-16,67,No
CUST-10142,53,Male,Australia,Bronze,24544.0,Beauty & Personal Care,14.25,Credit Card,2,5,7,3.0,6,No,142,23,2024-10-08,2,No
CUST-10143,18,Female,United States,Gold,96989.0,Beauty & Personal Care,88.55,PayPal,5,20,5,4.0,8,No,103,2,2022-01-13,139,No
CUST-10144,40,Male,Germany,Bronze,30726.0,Apparel,19.83,Apple Pay,7,20,10,2.5,5,No,72,15,2022-07-09,197,Yes
CUST-10145,41,Female,Japan,Silver,70893.0,Apparel,119.69,Apple Pay,3,15,1,4.0,8,No,25,10,2023-10-11,4,No
CUST-10146,47,Female,Germany,Platinum,88616.0,Apparel,8.5,PayPal,9,5,1,3.5,6,No,110,14,2023-10-04,58,No
CUST-10147,23,Female,United States,Bronze,26576.0,Beauty & Personal Care,60.0,Debit Card,4,10,8,3.0,5,No,184,15,2024-09-20,91,Yes
CUST-10148,22,Female,Australia,Silver,41731.0,Electronics,152.08,Buy Now Pay Later,3,5,11,1.5,3,Yes,226,9,2024-09-16,34,No
CUST-10149,44,Female,Canada,Bronze,37385.0,Electronics,245.14,Credit Card,8,5,9,1.5,4,No,183,15,2024-12-20,12,No
CUST-10150,41,Female,United States,Bronze,32315.0,Beauty & Personal Care,9.05,PayPal,2,20,7,3.0,6,No,172,18,2025-01-06,49,No
CUST-10151,41,Non-Binary,United Kingdom,Bronze,,Apparel,102.01,Credit Card,7,10,3,4.0,8,No,139,10,2022-12-15,158,Yes
CUST-10152,42,Male,United States,Bronze,18000.0,Electronics,248.55,Credit Card,7,20,6,3.5,9,No,179,12,2024-11-02,40,No
CUST-10153,29,Non-Binary,United States,Silver,62818.0,Electronics,201.16,PayPal,3,0,3,3.5,7,No,170,10,2024-09-07,17,No
CUST-10154,40,Female,Japan,Silver,72050.0,Books & Media,34.63,Debit Card,5,0,10,2.5,5,Yes,273,19,2024-05-01,21,No
CUST-10155,41,Female,United States,Silver,95419.0,Sports & Outdoors,92.6,Debit Card,6,30,4,4.0,8,No,161,18,2023-01-11,44,No
CUST-10156,29,Male,United Kingdom,Bronze,33328.0,Beauty & Personal Care,82.49,Credit Card,6,10,4,4.0,9,No,223,20,2024-05-20,5,No
CUST-10157,60,Female,Canada,Bronze,47840.0,Apparel,57.28,Credit Card,2,10,3,4.0,8,No,200,8,2023-10-12,34,No
CUST-10158,43,Female,United States,Silver,29530.0,Home & Kitchen,226.73,PayPal,7,10,10,2.5,4,Yes,182,6,2023-07-25,62,Yes
CUST-10159,23,Male,India,Platinum,96944.0,Books & Media,67.51,PayPal,4,0,6,2.0,4,No,37,7,2024-01-05,25,Yes
CUST-10160,45,Female,United States,Bronze,57205.0,Books & Media,16.96,Credit Card,7,15,5,4.0,7,Yes,208,8,2022-12-08,35,No
CUST-10161,26,Male,United States,Gold,94899.0,Electronics,100.86,Debit Card,4,0,11,1.5,3,No,159,15,2024-07-05,23,Yes
CUST-10162,47,Male,United States,Silver,83213.0,Beauty & Personal Care,30.25,Buy Now Pay Later,3,10,9,2.0,4,No,132,22,2023-12-24,80,No
CUST-10163,51,Female,United States,Silver,37278.0,Electronics,423.08,PayPal,9,10,9,2.0,4,Yes,42,11,2024-07-29,165,Yes
CUST-10164,28,Female,United States,Silver,71358.0,Electronics,86.4,Debit Card,1,25,3,4.0,8,Yes,155,22,2023-09-19,38,No
CUST-10165,49,Male,Japan,Bronze,,Home & Kitchen,146.27,Credit Card,3,10,9,3.5,7,No,159,4,2022-07-24,1,No
CUST-10166,42,Female,India,Bronze,49554.0,Apparel,138.81,Apple Pay,6,0,3,3.5,7,No,60,21,2023-06-17,2,No
CUST-10167,47,Female,United States,Silver,66978.0,Books & Media,15.14,PayPal,7,10,4,3.0,8,Yes,57,8,2022-11-05,0,No
CUST-10168,60,Prefer not to say,Germany,Bronze,42154.0,Electronics,264.24,Credit Card,5,0,1,3.5,8,No,172,21,2022-11-18,4,No
CUST-10169,35,Female,Japan,Platinum,111724.0,Home & Kitchen,67.42,Buy Now Pay Later,5,0,5,2.5,5,No,232,5,2025-02-06,38,No
CUST-10170,28,Male,Australia,Silver,86400.0,Sports & Outdoors,16.73,PayPal,4,0,9,2.5,6,No,175,21,2023-09-18,10,No
CUST-10171,27,Prefer not to say,United Kingdom,Bronze,31004.0,Sports & Outdoors,137.01,Apple Pay,8,10,2,3.5,7,No,210,9,2023-03-30,47,No
CUST-10172,28,Female,United States,Gold,104080.0,Electronics,42.1,Credit Card,2,0,4,3.5,7,Yes,166,10,2022-07-27,52,No
CUST-10173,37,Female,United States,Bronze,18000.0,Apparel,16.15,Credit Card,5,10,10,2.0,4,No,125,14,2022-06-08,102,Yes
CUST-10174,42,Female,Japan,Silver,40769.0,Home & Kitchen,279.1,Credit Card,6,25,2,5.0,10,No,80,12,2024-04-07,55,No
CUST-10175,41,Female,Australia,Silver,87831.0,Electronics,157.86,PayPal,2,15,8,2.0,4,No,62,17,2022-06-21,3,No
CUST-10176,47,Female,United States,Platinum,133748.0,Books & Media,177.3,Apple Pay,3,0,9,3.0,5,No,307,22,2025-06-27,16,No
CUST-10177,38,Male,United Kingdom,Gold,121158.0,Sports & Outdoors,667.6,Credit Card,5,0,3,2.5,6,No,254,16,2025-06-19,10,No
CUST-10178,55,Female,Brazil,Silver,60591.0,Electronics,96.28,Apple Pay,6,15,9,2.5,5,Yes,59,18,2024-08-04,19,No
CUST-10179,34,Male,Australia,Silver,28845.0,Electronics,8.9,Apple Pay,3,20,6,1.0,2,No,144,6,2022-07-19,82,No
CUST-10180,70,Prefer not to say,India,Platinum,156057.0,Electronics,603.99,Apple Pay,1,0,6,4.0,9,No,191,16,2023-08-05,16,No
CUST-10181,45,Male,Japan,Bronze,31381.0,Sports & Outdoors,52.25,PayPal,3,20,7,3.5,7,No,117,13,2024-04-04,46,Yes
CUST-10182,27,Male,United Kingdom,Bronze,54576.0,Electronics,31.07,Debit Card,3,10,5,3.5,6,No,120,20,2023-11-24,21,No
CUST-10183,25,Female,Canada,Bronze,42453.0,Apparel,96.29,PayPal,2,10,6,3.0,5,No,166,12,2023-04-10,50,No
CUST-10184,43,Male,Germany,Bronze,18000.0,Apparel,8.5,PayPal,2,30,11,1.5,4,No,182,17,2023-02-10,135,Yes
CUST-10185,35,Male,United States,Silver,64957.0,Home & Kitchen,372.35,Credit Card,9,15,1,4.0,9,No,178,9,2025-02-19,5,No
CUST-10186,46,Female,Canada,Silver,101532.0,Electronics,59.55,Credit Card,2,20,3,3.0,6,No,162,10,2022-11-01,0,No
CUST-10187,43,Female,Japan,Silver,70873.0,Electronics,45.4,Credit Card,5,5,9,2.5,5,No,145,11,2025-01-05,124,No
CUST-10188,37,Male,United States,Bronze,40964.0,Books & Media,8.5,PayPal,5,10,5,4.5,9,No,201,10,2023-03-10,31,No
